,arrival_time,departure_time,required_energy
0,45.8,52.1,62.7
1,71.2,76.8,56.099999999999994
2,51.6,56.9,52.8
3,28.0,33.8,58.3
4,35.4,40.2,48.400000000000006
5,14.9,19.4,45.099999999999994
6,16.5,22.1,56.099999999999994
7,69.8,73.9,40.7
8,73.4,79.4,60.5
9,77.5,83.6,60.5
10,50.9,56.2,52.8
11,15.7,18.4,27.5
12,60.4,64.6,41.8
13,40.3,44.3,39.6
14,39.9,43.0,30.799999999999997
15,41.9,44.1,22.0
16,63.2,67.5,42.9
17,32.3,33.4,11.0
18,7.4,11.9,45.099999999999994
19,66.2,68.2,19.8
20,43.9,45.6,16.5
21,11.5,13.7,22.0
22,35.9,38.0,20.9
23,72.0,73.9,18.7
24,8.6,14.2,56.099999999999994
25,41.9,47.3,53.900000000000006
26,17.5,23.8,62.7
27,18.0,22.5,45.099999999999994
28,51.1,55.1,39.6
29,64.8,67.9,30.799999999999997
30,17.0,19.8,27.5
31,58.7,62.9,41.8
32,27.8,30.1,23.1
33,43.6,45.1,15.399999999999999
34,32.3,35.2,28.6
35,10.6,13.1,25.299999999999997
36,53.3,57.5,41.8
37,58.4,62.8,44.0
38,71.9,77.7,58.3
39,56.3,59.4,30.799999999999997
40,54.8,57.3,25.299999999999997
41,6.7,12.6,59.400000000000006
42,0.9,3.4,25.299999999999997
43,45.2,49.7,45.099999999999994
44,22.5,28.7,61.599999999999994
45,73.1,74.1,9.9
46,33.2,38.4,51.7
47,67.4,72.4,49.5
48,67.1,69.8,27.5
49,8.1,14.3,61.599999999999994
50,19.3,24.9,56.099999999999994
51,27.5,30.8,33.0
52,12.8,15.3,25.299999999999997
53,44.9,48.8,38.5
54,71.1,76.9,58.3
55,50.0,51.3,13.2
56,10.2,13.3,30.799999999999997
57,60.4,64.4,39.6
58,23.6,26.2,26.4
59,26.2,32.4,61.599999999999994
60,55.5,60.1,46.2
61,54.1,58.5,44.0
62,54.8,55.7,8.8
63,36.5,40.8,42.9
64,9.2,13.2,39.6
65,26.7,31.3,46.2
66,75.3,80.8,55.0
67,1.0,4.8,38.5
68,39.2,39.8,5.5
69,22.3,27.7,53.900000000000006
70,52.5,57.6,50.599999999999994
71,70.5,75.2,47.3
72,71.8,77.5,57.2
73,9.6,12.1,25.299999999999997
74,6.2,11.9,57.2
75,0.3,3.7,34.1
76,71.7,73.0,13.2
77,49.8,56.1,62.7
78,79.7,81.7,19.8
79,3.4,7.1,37.4
80,60.0,62.6,26.4
81,55.0,61.3,62.7
82,79.6,82.9,33.0
83,50.8,53.8,29.700000000000003
84,0.3,3.2,28.6
85,25.2,26.1,8.8
86,51.0,54.4,34.1
87,24.8,27.4,26.4
88,18.8,21.7,28.6
89,19.7,26.0,62.7
90,68.5,70.7,22.0
91,73.0,74.0,9.9
92,75.0,76.9,18.7
93,39.7,43.6,38.5
94,57.5,61.2,37.4
95,70.3,73.2,28.6
96,6.2,8.6,24.200000000000003
97,62.6,63.8,12.100000000000001
98,4.5,8.8,42.9
99,76.1,80.7,46.2
100,38.3,43.4,50.599999999999994
101,25.5,27.6,20.9
102,57.3,61.9,46.2
103,14.4,20.2,58.3
104,78.1,79.2,11.0
105,68.8,73.9,50.599999999999994
106,47.8,48.7,8.8
107,43.3,48.0,47.3
108,3.6,6.5,28.6
109,32.6,34.9,23.1
110,67.5,73.8,62.7
111,50.8,53.3,25.299999999999997
112,36.3,42.2,59.400000000000006
113,47.3,48.9,16.5
114,11.1,13.1,19.8
115,75.3,77.7,24.200000000000003
116,35.6,40.1,45.099999999999994
117,21.9,23.2,13.2
118,66.3,67.3,9.9
119,33.3,36.7,34.1
120,39.4,43.4,39.6
121,48.7,52.0,33.0
122,60.4,65.7,52.8
123,1.0,1.9,8.8
124,7.6,8.5,8.8
125,43.0,43.8,7.699999999999999
126,66.4,68.1,16.5
127,46.3,51.5,51.7
128,52.5,57.4,49.5
129,30.1,34.5,44.0
