,arrival_time,departure_time,required_energy
0,7.7,12.1,37.4
1,7.8,11.3,35.2
2,3.5,10.3,62.7
3,4.1,8.7,31.9
4,9.6,10.2,5.5
5,2.2,4.0,14.3
6,8.0,14.7,61.599999999999994
7,5.9,12.5,51.7
8,2.2,9.2,63.8
9,5.8,11.4,38.5
10,4.1,9.4,41.8
11,7.3,14.3,63.8
12,5.9,7.4,11.0
13,2.5,9.5,63.8
14,8.5,11.2,27.5
15,9.0,14.2,47.3
16,9.2,14.3,33.0
17,2.6,4.4,12.100000000000001
18,3.4,8.2,48.400000000000006
19,4.4,7.9,35.2
20,4.0,7.5,29.700000000000003
21,3.4,5.2,13.2
22,8.4,13.3,41.8
23,7.2,13.0,58.3
24,0.0,1.1,11.0
25,4.8,9.3,33.0
26,9.6,15.2,38.5
27,2.2,5.1,23.1
28,2.7,4.8,20.9
29,2.4,6.9,33.0
30,8.6,10.0,13.2
31,6.9,10.4,31.9
32,7.6,10.8,20.9
33,9.1,14.7,56.099999999999994
34,6.5,12.3,58.3
35,1.5,6.3,35.2
36,9.6,16.8,66.0
37,2.9,3.7,7.699999999999999
38,7.7,9.3,14.3
39,0.4,5.1,47.3
40,3.1,3.8,6.6
41,9.6,11.0,9.9
42,7.2,11.1,25.299999999999997
43,3.2,6.2,29.700000000000003
44,5.9,8.6,18.7
45,8.8,14.5,48.400000000000006
46,0.8,5.7,38.5
47,0.9,5.7,30.799999999999997
48,1.3,5.0,24.200000000000003
49,9.8,16.5,61.599999999999994
